"Fecha","Proyecto","Tarea","Un","Integrante"
01/12/19,"ProyectoE","Desarrollo",24,
01/12/19,"Generales","Asignación",2,
01/12/19,"ProyectoF","Desarrollo",12,
01/12/19,"ProyectoC","Entrega",16,
01/12/19,"ProyectoC","Revisión",8,
01/12/19,"ProyectoC","Revisión",32,
01/12/19,"ProyectoE","Desarrollo",1,
01/12/19,"ProyectoC","Test",1,
01/12/19,"ProyectoC","Test",1,
01/12/19,"ProyectoC","Estimación",1,
01/12/19,"ProyectoL","Revisión",4,
01/12/19,"ProyectoF","Desarrollo",16,
01/12/19,"ProyectoF","Desarrollo",4,
01/12/19,"ProyectoF","Test",1,
01/12/19,"ProyectoF","Test",1,
01/12/19,"ProyectoO","Test",2,
01/12/19,"ProyectoE","Bug",24,
01/12/19,"ProyectoF","Test",4,
01/12/19,"ProyectoF","Test",6,
01/12/19,"ProyectoF","Desarrollo",6,
01/12/19,"Generales","Asignación",16,
01/12/19,"ProyectoC","Desarrollo",16,
01/12/19,"ProyectoC","Desarrollo",4,
01/01/20,"ProyectoF","Test",10,
01/01/20,"ProyectoM","Desarrollo",16,
01/01/20,"ProyectoM","Desarrollo",160,
01/01/20,"ProyectoF","Desarrollo",12,
01/01/20,"ProyectoE","Desarrollo",16,
01/01/20,"ProyectoE","Desarrollo",36,
01/01/20,"ProyectoF","Test",1,
01/01/20,"ProyectoF","Asignación",1,
01/01/20,"ProyectoF","Reunion",1,
01/01/20,"ProyectoF","Desarrollo",16,
01/01/20,"ProyectoF","Test",4,
01/01/20,"ProyectoC","Desarrollo",24,
01/01/20,"ProyectoB","Capacitación",1,
01/01/20,"ProyectoB","Test",1,
01/01/20,"ProyectoB","Reunion",1,
01/01/20,"ProyectoC","Desarrollo",16,
01/01/20,"ProyectoF","Desarrollo",8,
01/01/20,"ProyectoC","Desarrollo",2,
01/01/20,"ProyectoM","Desarrollo",1,
01/01/20,"ProyectoF","Desarrollo",8,
01/01/20,"ProyectoF","Desarrollo",3,
01/01/20,"ProyectoO","Test",2,
01/01/20,"ProyectoB","Test",2,
01/01/20,"ProyectoB","Test",2,
01/01/20,"ProyectoB","Reunión",2,
01/01/20,"ProyectoB","Revisión",2,
01/01/20,"ProyectoC","Test",6,
01/01/20,"ProyectoM","Revisión",4,
01/01/20,"ProyectoF","Test",2,
01/01/20,"ProyectoK","Test",2,
01/01/20,"ProyectoK","Test",1,
01/01/20,"ProyectoD","Test",2,
01/01/20,"ProyectoL","Test",1,
01/01/20,"ProyectoF","Desarrollo",16,
01/01/20,"ProyectoH","Desarrollo",16,
01/01/20,"ProyectoE","Revisión",4,
01/01/20,"ProyectoE","Revisión",4,
01/01/20,"ProyectoM","Desarrollo",10,
01/01/20,"ProyectoO","Asignación",16,
01/02/20,"ProyectoB","Test",1,
01/02/20,"ProyectoC","Test",3,
01/02/20,"Generales","Asignación",1,
01/02/20,"ProyectoB","Test",2,
01/02/20,"ProyectoB","Test",1,
01/02/20,"ProyectoB","Asignación",1,
01/02/20,"ProyectoB","Kickoff",1,
01/02/20,"ProyectoF","Desarrollo",32,
01/02/20,"ProyectoC","Desarrollo",22,
01/02/20,"ProyectoF","Test",6,
01/02/20,"ProyectoF","Test",8,
01/02/20,"ProyectoB","Reunión",1,
01/02/20,"ProyectoB","Test",1,
01/02/20,"ProyectoB","Reunión",1,
01/02/20,"ProyectoB","Asignación",1,
01/02/20,"ProyectoM","Desarrollo",18,
01/02/20,"ProyectoM","Desarrollo",20,
01/02/20,"ProyectoM","Desarrollo",32,
01/02/20,"ProyectoM","Desarrollo",6,
01/02/20,"ProyectoF","Bug",12,
01/02/20,"ProyectoF","Bug",10,
01/02/20,"ProyectoF","Bug",8,
01/02/20,"ProyectoF","Bug",8,
01/02/20,"ProyectoF","Bug",5,
01/02/20,"ProyectoF","Bug",5,
01/02/20,"ProyectoF","Bug",5,
01/02/20,"ProyectoF","Bug",8,
01/02/20,"ProyectoF","Bug",2,
01/02/20,"ProyectoF","Test",4,
01/02/20,"ProyectoB","Test",10,
01/02/20,"ProyectoM","Reunión",1,
01/02/20,"ProyectoM","Test",1,
01/02/20,"ProyectoO","Asignación",16,
01/02/20,"ProyectoF","Desarrollo",24,
01/03/20,"ProyectoB","Desarrollo",32,
01/03/20,"ProyectoC","Desarrollo",7,
01/03/20,"ProyectoB","Test",1,
01/03/20,"ProyectoH","Desarrollo",24,
01/03/20,"ProyectoK","Desarrollo",16,
01/03/20,"ProyectoN","Desarrollo",60,
01/03/20,"ProyectoN","Desarrollo",4,
01/03/20,"ProyectoC","Test",1,
01/03/20,"ProyectoE","Desarrollo",16,
01/03/20,"ProyectoN","Estimación",4,
01/03/20,"ProyectoN","Desarrollo",64,
01/03/20,"ProyectoM","Desarrollo",50,
01/03/20,"ProyectoM","Desarrollo",6,
01/03/20,"ProyectoM","Desarrollo",24,
01/03/20,"ProyectoM","Desarrollo",4,
01/03/20,"ProyectoM","Desarrollo",2,
01/03/20,"ProyectoN","Desarrollo",3,
01/03/20,"ProyectoN","Desarrollo",48,
01/03/20,"ProyectoN","Desarrollo",8,
01/03/20,"ProyectoE","Revisión",32,
01/03/20,"ProyectoN","Desarrollo",8,
01/03/20,"ProyectoN","Desarrollo",9,
01/03/20,"ProyectoO","Asignación",16,
01/03/20,"ProyectoH","Desarrollo",3,
01/03/20,"ProyectoH","Revisión",4,
01/03/20,"ProyectoH","Revisión",4,
01/03/20,"ProyectoH","Revisión",8,
01/03/20,"ProyectoN","Revisión",4,
01/03/20,"ProyectoN","Revisión",16,
01/03/20,"ProyectoN","Test",8,
01/04/20,"ProyectoN","Desarrollo",32,
01/04/20,"ProyectoN","Test",8,
01/04/20,"ProyectoN","Desarrollo",8,
